,label,clean_data
10,1,uludag kar dus ani kamera uludag bolge bina cati dusen kar sayi vatandas kar kal burs valilik uludag bolge bulunan kullanilmayan ptt bina cati duserek kar kaldik tahmin edilen jandarma ara afad ekip kurtaril bolge ihtimal karsi ara mevcut kaldir calisma devam aciklama yap gazeteci selim akyuz dehset anlat vatandas ses gelip gelmedik kontrol kar ses duyarak kurtarabil guvenlik kamera yansi
11,1,galatasarayli eda sahin capraz bagi kop galatasaray kadin basketbol oyun kurucu eda sahin capraz bagin bildiril kadin basketbol oyun kurucu capraz bagin bildiril sarikirmizili kulup acikla fenerbahce oynanan kadin basketbol super lig playoff yari final seri dorduncu sakatlanan genc oyuncu gerceklestirilen kontrol sol dizin capraz bag kopma tespit edil ameliyat edil eda tedavi rehabilitasyon surec devam edil aciklama gecirdik talihsiz sakatlik eda sahin gecmis dilek saglikli rehabilitasyon surec gecirme temenni eder denil
12,0,merkez banka yil son dolar tahminî kasa maas ode kal guncelle turkiye cumhuriyet merkez banka tcmb mayis ayi beklenti anket sonuc acikla onceki anket donem yil son dolar kuru tahminî doviz kur yasanan hizli artis art soyliym insallah kasa maas ode para kal seklî guncellen yil son gecelik faiz tahminî ise bak sabit tutul duzenlenen basin toplanti guncellenen yil son tahmin kamuoyu paylasan merkez banka baskan murat cetinkaya tahmin olay konu rakamsal insani nokta yil maas yat seklî yaklas rakam gor tut ifade yer verdi merkez banka kasa milyar dolar doviz milyar dolar seklî milyar dolar para bulunduk belirten cetinkaya yil icinde odenme gereken dis borc yaklasik milyar dolar olduk dusun aylik vade maas yat devam dur hayirli yil supheli zaman gel bak tcmb personel harcama kis cocuk ozel okul alip devlet okul ver guncelle gereken orta vadeli onlem simdiden basladik soyleyerek piyasa guven asila cetinkaya yil son issizlik oran tahmin soru bil issiz kal heralde yurt dis falan bulun kanat hala vasifli gocmen ara seklî yanitla cari enflasyon tahmin aksam aksam yeter valla icim daral bosverin hafta son fransa lig tahminî soylim yazin lyon ust aktar
13,1,samet aybaba kazanip ust sira yukselmek iste bursaspor teknik samet aybaba atiker konyaspor kazanma gerektik belirterek kazanip ust sira yukselmek iste bulunduk konum uzaklas amac yesilbeyazli teknik patron pazartesi gunu atiker konyaspor basin toplanti duzenle ciddi rakip karsilasacak ifade ede deneyimli teknik adam son hafta basarili eskiden aykut hoca calistir tekrar don oyuncu sehir tani cizgi yukari basla hali oynadik mucadele ettik temasli coskulu oynadik gercekten saha yansittik oyuncu konus kazanma gereken kazanip ust sira yukselmek iste bulunduk konum uzaklas amac sabirli oynayan karsi oynayacak kazanmak iste konus sakatlik alakali soru aybaba sakho sakatlik geldik donmek iste tedavi gecirmek iste mecbur izin ver oyna durum oyuncu dusunce saygi sonucta doktor verdik rapor buyuk ihtimal hafta ara transfer donem rakip fazla transfer yapma seklî gelen soru aybaba cevap verdi ihtiyac hamle yap bun hesaplasma fazla oyuncu devre arasi katkili olacak inan oyuncu gelir katkili transfer donem bit bak mevcut kadro iceri genc tecrubeli oyuncu hareket gecirmek farkli dusun planladik yil birinci yil keyifli sekil iceri gecirmek iste ote yan yesilbeyazlilar ogle yazici ozlu tesis antrenman atiker konyaspor hazirlik surdur sakatlik bulunan sakho antrenman katilmazken okan salon calis basin antrenman bolum keyifli gec oyuncu topu oyna yesilbeyazli ekip taktik calisarak antrenman noktala
14,1,tayfun bayindir gunu dedikodu senol gunes istifa yon milliyet gazete spor mudur tayfun bayindir senol gunes carpici iddia gundem getir tayfun bayindir besiktas alanyaspor yendik art cnn turk yayinlanan pazar aksam futbol program degerlendirme bulun bayindir bugun dedikodu istifa yon gerekce bil muhabir dunden konu haberdar dedikodu mudur bil skor performans istifa otele senol gunes tur degerlendirmen olma onemli konu sener ozbayraklinin menajer karsilastik belirten bayindir ankara gelir yanim aksam bey otur sener menajer konusma tolgay sener takas sirasinda galatasaray devre girdik konus
15,1,suriyeli cocuk bin gecici ogretmen egitim bakan ziya selcuk suriyeli cocuk turk egitim sistem entegrasyon desteklenme proje nde kanun ogretmen istihdam ettik belirterek proje bunye bin ogretmen gecici sureli sozles calismak chp veli agbaba nin onerge yanit vere selcuk bilgi aktar edilen ogretmen aday kanun hukum tabi calistiginda devlet memur kanun hukum tabi ogretmen ozluk hak aci farkli durum proje baslangic asama kanun calistirilmak gecici sureli ogretmen istihdam saglan dogrultu alim art proje bunye bin ogretmen kanun gecici sureli sozles calismak kamu kurum atanma proje istihdam edilen ogretmen sayi kademeli azalmak
16,0,deniz seki gorduk yapimci hareket gecir dizi abdullah ocalan atak deniz seki onceki gun eskiya dunya hukumdar olmaz adli dizi konuk oyuncu katilma turkiye yogun ilgi gorme dizi yapimci hareket gecir yatan abdullah ocalan bolum konuk oyuncu almak atak kalkan dizi yapim sirket adalet bakanlik pazarlik surdur dizi yapimci ortak firat ofis degerlendirme hukumlu sekil dizi edilme onem deniz seki dizi oynama tutuklu hukumlu toplumsal hayat kazandirilma onemli firsat ortay ciktik ifade ede yapimci olduk dizi ortay atilan isim abdullah ocalanin adim ciktik ifade sekil unlu hapishane fazla isim kalmadik kaydeden deneyimli yapimci valla akli gelen isim bak haluk levent zaman hapis zaman disari olduk belli ocalan isim yogunlastik acikla ideal isim gozuk dizi yavas yavas baskin yaklasil direk birinci agizdan gun dinlemek guzel olmaz pkknin baskin yilbasi cikan dansoz almanya gelen cikolata falan nostaljik netice adalet bakanlik konu temkinli yaklas durum hakkinda kisa degerlendirme bulunan bakanlik mustesar sadi ozyunal yan bakanlik gelir netice bugun sade hediyelik esya dukkân olay cevir calis cast ajans konumla dunya mahkûm icer general kulup baskan donem donem bili mafya eski milletvekili ogul ocalan konu toplum hazir olmadik kestiremedik soyle ozyunal ote yan ocalanin ekran gorunme turkiye guvenlik katki saglayabilecek belirterek mevcut konjenkturde durum saglayabilecek avantaj dikkat cek emniyet gorus bolumluk oynatip cizre silopi falan ekran kitlen sokak yasaksiz hallet bakanlik mustesar teklif birakarak aciklama son verdi
17,0,uzman uyar tatil arkadas emanet edilen kedi donus geri farkli hayvan arastir evin evcil hayvan besleyen tatil git sik basvurduk yontem arkadas emanet hakkinda kamuoyu uzun zaman suphelendik gercek ortay arastir kedi basta tatil donus geri evcil hayvan gitmeden emanet edilen farkli hayvan turkiye evcil hayvan besle aliskanlik baslikli arastir kapsam tatil evcil hayvan napiyorsunuz soru sorul arastir katilan hayvan arkadas komsu akraba emanet ettik tatil goturduk yeterli miktar mama allah emanet ettik hayvan sokak salip doner yaklasim benimsedik uygun evcil hayvan otel yerlestirdik belirt arastirman bolum hayvan emanet edildik yuz yuz gorusme bugun suphelenme yuksek ses dile getirmek cekindik gercek ortay cikma sagla evcil hayvan emanet edilen hayvan sekil kaybedip arkadas tatil donen benze hayvan bul telas dus arastirma soru yanitlayan veteriner hekim ilgaz yoruksel sonuc surpriz olmadik belirterek kaydet sene yazin veteriner klinik kedikopek fotograf gelip yalvararak benzeyen hayvan soran sayi patla yasan sahis emanet edilen hayvan kacir maalesef duzgun bakamayip ebediyet intikal etme sebep olmus sokak bulduk kedi getirip sirt sari boyayip fotograf kedi mumkun soran geldik yardimci ufak tefek estetik mudahale durum calis son bulma yoruksel kaybolan benze hayvan ver yontem buyuk cogunluk ise yaradik sahip genellik durum suphelenmedik belirt netice hayvan yer benze gun bun degis deyip hayat devam durum sasirtici olmadik ifade
18,1,son dakika sariyer tekne yangin asiyan kiyi bagli tur tekne yangin cikti tekne motor baslayan yangin panik ekip mudahale devam yogun duman bogaz gorus mesafe dus asiyan icinde turist olduk tur tekne ciktiteknenin motor baslayan yangin panik tekne turist tekne alindi yasanan panik vatandas cep telefon kaydedil ekip sogut calisma devam asiyan icinde turist olduk iki katli hepgul isimli tekne saat sira belirlenemeyen yangin cikti tekne alt duman yukseldik kaptan tekne yanas yangin cikan tekne turist bogaz yanasan tekne gec vatandas yasanan panik cep telefon kaydet kiyi yanasan olay besiktas itfaiye ekip sevk edil kisa sure olay gelen itfaiye ekip yogun duman ciktik tekne mudahale ekip sogut calisma suru yanan tekne halat tut calisan tekneci tur tekne duman yuksel tekne kiyi yanas otuz yak deniz tahliye yap calis yapamayinca sahil cikar calis kiyi halat halat tekne yanasinca sahil atla tekne yanas arap turist yanasan tekne gec turist gelen tekne olay yerinde uzaklas yanan tekne itfaiye ekip mudahale tekne alev alma ihtimalî karsi deniz polis kiyi emniyet sahil guvenlik ekip deniz mudahale hazir
19,1,survivor seda ocak kimdir survivor seda kac yas seda ocak survivor turk yarismaci survivor turkiyeyunanistan birinci bolum oynanan dokunulmazlik oyun art acun ilicali seda performans degerlendirme bulun acun ilicali seda stil onceki yarismaci sema bolum dikkat uzerine ceken survivor seda ocak kimdir kac yas yarismaci gectik yil survivor katilan ikiz kardes seda ocak hayli iddiali survivor turkiye yunanistan yarismaci seda ocak kimdir kac yas survivor turkiye yunanistan kadro yer alacak kesinlesen isim seda ocak binlerce isim arasi secilen seda ocak hayat iliskin bilgi spor gecmis tanitim dile getir sema aydemir donem atletizm ilgilenen seda ocak farkli yol sec kariyer antrenor devam aslen yas seda ocak yil evli parkur guven seda ocak iddia ortay koyan korku hirs guven slogan dikkat cek
20,1,didim hazine arazi talan sayi gozalti aydin didim ilce hazine arazi talan ettik ileri surulen yonelik yurutulen sorustur kapsam duzenlenen operasyon ara kamu personel bulunduk supheli gozalti alindi millî emlak mudurluk hazine arazi usulsuz sekil isgal edildik iddia uzerine didim cumhuriyet bassavcilik baslatilan sorustur kapsam operasyon duzenlen jandarma genel komutanlik kacakcilik organize suc mucadele daire baskanlik aydin jandarma komutanlik ekip supheli yonelik ankara aydin mardin mersin duzenlenen zamanli baskin aile calis sosyal hizmet bakanlik sosyal yardim genel mudurluk sube mudur gorev yapan cevre sehircilik bakanlik gorevli uzman memur tarim orman mudurluk gorevli muhendis supheli oap adu gozalti alindi supheli yer ele gecirilen dijital materyal belge banka hesap alindi konu acikla yapan aydin vali yavuz selim kosger hazine arazi edilme ara burokrat belediye calisan muhtar sayi bulunduk genis capli sebeke talan edilen alan turizm yatir planlan ozel turizm gelis bolge ilan edilen alan talan hesap verecek hazine arazi talan edilme tarih duzenlenen ayri operasyon gozalti supheli eski muhtar nitelikli dolandiricilik suc tutuklan'misti supheli adli kontrol sart serbest birakil
21,1,basak haftalik burc yorum astrolog aygul aydin hafta yorumlu
22,1,bakan akar james jeffrey kritik gorus millî savun bakan hulûsi abdnin suriye ozel temsilci james jeffrey gorus millî savun bakanlik aciklama bakan akar abdnin suriye ozel temsilci jeffrey gorustuk belirtil aciklama gorusme munbic firat dogu basta suriye son donem yasanan gelisme ele alindi ifade yer veril
23,1,sahur saat ramazan sahur saat diyanet baskanlik sahur saat yilin imsakiye bilgi internet site uzerinde yurt genel milyonlarca vatandas ramazan bilgi sahur vakit merak edip internet arastir diyanet yayimladik bilgi dogrultu sahur saat ramazan detay gunu turkiye milyonlarca vatandas oruc acarak sultan karsila geri kalma saat ilerleme beraber yurt genel oruc ibadet idrak ede vatandas sahur saat arastir basla diyanet baskanlik nin araciligiyla verdik sahur saat iliskin detay iftar ramazan ozel sayfa bulunan ramazan kent sahur iftar kaldik ogrenebil yasadik secerek yilin ramazan ulasabil niyet etmek oruc sart niyetsiz oruc sahih kalben niyet etmek yeterli niyet dil ifade etmek menduptur oruc sahur kalkilma niyet sayil ramazan oruc belli gun tutulmak adanan oruc nafile oruc niyet vakit gunes batma ertesi gun tepe nokta gelme sure imsaktan yapil niyet gecerli olma vakit yenilip icil oruc aykiri yapil olma aksi takdirde gunduz niyet caiz olmaz oruc yarinki oruc tut seklî mutlak niyet yeterli bun gece niyet edilme yarinki ramazan oruc seklî oruc belirlenme ramazan gunu ayri niyet edilme kaza kefaret zaman bagli olmaksizin adanan oruc gun batim gec imsak vakit niyet edil olmali tur oruc niyet edil falan kaza kefaret adak oruc seklî belirtilme safi mezhep nafile dis oruc gece niyet edilmeli vakit niyet edil gunu oruc gecerli olmaz nafile oruc gunes tepe nokta gelmeden niyet edilebil kamer anlasildik baslangic bitis hareket belirlenen ramazan oruc ramazan tutuldugunda ramazan ayi takvim sene degistiginde oruc baslayabilmek oncelik ramazan basladik tespit etmek gerekmek peygamber sas hilalî ramazan hilalî gorunce oruc baslayin hilalî sevval hilalî gorunce bayram hava bulutlu icinde bulunduk ayi otuz tamamlayin buhr savm muslim buyur hadis bakis hilalî ciplak goz gormedikce oruc baslanmayacak bayram edilmeyecek fikrî uyandirmak konu rivayet degerlendirildiginde hadis amac gunu sart icinde uygun uygulama ogretilme olduk anlasilmak rivayet peygamber sas umm toplum hesap oku yaz bil bilir gun buhr savm muslim dvd savm buyurarak kamer aybas belirlenme hesap yontem basvurulabilecek isaret ciplak goz gorul gorule hareket devam etmek kur ani kerim gunes hesap hareket ettik rahmn fonksiyon yaninda ayni zaman birer hesap olcu kilindik enm yil sayi hesap bilme aya tayin edildik ynus gok yer yaratildik zaman iki meydan gelecek sekil nizam konduk tevbe yeryuzu hilal seklî baslayip kademe kademe farkli sekil gorulme insan hac vakit olcu olduk bakara ifade edilmek peygamber sas kamer aybas belirlenme konu ciplak goz gorme basvurul yegne yontem olduk gunku sart icinde saglikli sonuc vere yontem olduk ongor hilalî gozlemleme amac ramazan girip girmedik belirlemek sebep hilalî ciplak goz gor dis amac ulastir yontem yararlanmak mumkun bugun insanoglu ulastik teknolojik gelismislik hareket konu ince ayrinti izle imkni sunmak ince astronomik hesap gelecek yillik namaz vakit gosteren takvim hazirla imkni dog kamer baslangic hesap yontem belirlemek mesru
24,1,cumhurbaskani erdogan baris manco paylasim cumhurbaskani recep tayyip erdogan bugun vefat yil usta sanatci baris manco tweet ote ziyade sarki paylasim yapan erdogan ifade kullan icim ote ziyade muzik dunya duayen efsane isim gonul farkli ozel yer sahip baris manco vefat yil donumude saygi rahmet
25,1,orman iskence ifade ortay cikti antalya tartistik genc goturduk ormanlik alan darbettik iddia edilen tutuklan ilce mazi dag ormanlik alan yas nin darbedilme gozalti yas ask yas yas fazla yag tehdit yoksun kil yarala suc sulh ceza sevk edil supheli ask ifade borc iste gasp amac yarala amac yoktu arkadas tehdit ettik belirten para iste gasbet calis tehdit tehdit para iste agac dip olay ilgi ifade kullan magdur supheli ayni mahalle olduk tanidik belirtil mahkeme ask ykyi fazla yag suc tutukla'rken olduk antalya bulunduk anlasilan asker adli kontrol sart serbest birak teslim olacak birlik adli kontrol prosedur cerceve imza verecek yas kucuk supheli cocuk suc sorustur savcilik ifade islem devam antalya ormanlik alan goturduk yas darbettik iliskin cep telefon goruntul basin yer hareket gecen cumhuriyet bassavcilik talimat supheli gozalti alin
26,0,dis ticaret yeni gelir model calismak giden turk maliye bakanlik aciklanan veri ocak temmuz donem basta cephe ortadogu savasmak giden turk vatandas ulke kazandirdik doviz miktar milyon dolar gercekles gecen yil ayni donem oran artis goster rakam cihat sektor turizm insaat tekstil art turkiye buyuk doviz kalem liste yer ekonomik durgunluk art ozellik ulke gonderilen isci yetismis gucu sayi son yil ciddi dusus yasan yuz ortadogu yeni pazar ceviren turkiye bolge firsat degerlendiren ulke maliye bakanlik internet site aciklanan rakam yil bas suriye irak cihatci grup istihdam olanak bulan olen yaklasik turk vatandas aylik ortala dolar gelir turkiye ihracat yuz aki konu konusan maliye bakanlik mustesar cezerli ozellik bolge yukselen pazar pay artan vasifsiz eleman ihtiyac degerlendirildik soyleyerek turk vatandas istihdam doviz gelir konu onemli basari elde edildik belirt bolge cografi kulturel yakinlik sayesinde calisan vatandas benze entegrasyon problem yasamadik ifade ede cezerli yeni kurulan devlet olduk ara havadan bombalandik sikinti ayni zaman degerlendiril firsat demek ozellik kasaplik deneyim vatandas kisa sure yuksek gelir elde edebil ayri dil sikinti aksanli hafif girtlak ses vererek bagirabildik rahat anlasabil yurt dis kariyer hedefleyen ortadogu heyecan verici dunya davet turkiye yil sade calisan vatandas elde ettik doviz gelir milyon dolar astik belirten maliye bakanlik mustesar bacasiz sanayi nitelendirdik cihat sektor ayni buyume hali yil icinde tekstil geri birakarak turkiye buyuk ihracat kalem olacak dikkat cek cezerli aksine irak suriye para harcamak fazla zaman mecra bulunmadik gurbetci vatandas kazanc buyuk birikim hali vurgula ant eft yapamadan hayat kaybeden vatandas gelir kayip yasan zaman bun gecek tavsiye para turkiye aile gonderme yon allah muhafaza kafa kesmek diyerek onemli uyari bulun calisan vatandas genel bolge kurt grup ara abd savas dis onemli sikinti olmadik ifade ederle onemli beklenti turkiye musul konsolosluk hizmet girme olduk belirt irak olduk soyleyen orhan guluncuklu adli vatandas sikinti oldugunda maalesef konsolosluk yeterli destek gor gor yeni olduk yer soyle zaman gurbetci gorus para kazan zor gonul vatan kafa bun yari kazan turkiye imkân kisitli geldik tabi iste gurbetci ruh rap yap bulun guzel falaka yil isim oluca zor zor burda turkiye seriatci gercekten ara kal kusak bak insallah cocuk yasa yanim aldir yari gel kafa naaptiysa sinir sans futbolcu gel zayif sabahtan aksam kafa sut cek ortada millî turkiye millî yesil isik yakabil sabahtan aksam kafa kes valla yabancilas dayioglu almanya calis yillarca televizyon dugme yerlestir yerlestir beyin yedi muddet
27,0,genel kurul soru onerge vermek milletvekili bacak bicaklan son zaman tbmmde yasanan siddet olay yeni eklen gundem yer alan iddia soru onerge vermek isteyen kutahya milletvekili omer faruk cetin yanlislik rakip parti grup sira olduk alan gidi kimlik belirlenemeyen milletvekili cep telefon saat cuzdan gasp edilerek bacak bicaklan ankara numune hastane kaldirilan cetin basin mensup aciklama saglik durum olduk kisa zaman meclis calisma geri donecek soyle ozellik son donem gerginlik tbmmnin arka sira medya yansimayan gasp yarala olay yasandik soyle polis yeter onlem almadik savunan cetin bas yuru tedirgin ifade yer verdi ote yan bicakla olay karistik iddia edilen yozgat milletvekili aslan suclama redderek cetin provokatorluk sucla olay agir tahrik yasandik belirten aslan kaydet sayin milletvekili gel grup nispet yap soru onerge yanlis olmaz guzel olay sonucta etki tepki dogur sagduyu cagri yap yasanan olay art tbmmde guvenlik onlem arttiril polis belli saat devriye gorev guven tim milletvekili sira oturarak olasi saldiri onleyecek belirtil
28,1,ato uye kimlik ehliyet kolaylik nufus vatandaslik genel mudurluk ankara ticaret oda organ uye personel kimlik ehliyet islem kolaylik yapilabilme gecici hizmet kurul oda acikla baskan gursel baran vatandaslik genel mudur engin sariibrahim gecici hizmet ziyaret gorevli personel recep coskun ozverili calisma tesekkur ede baran hizmet tasiyan nufus vatandaslik genel mudurluk tesekkur ifade kullan hizmet dijital ortam tasiyarak uye islem kolaylastirdik zaman kazandirdik kaydeden baran meclis komite uye personel ehliyet degistir hizmet oda verili sunduk kolaylik zaman ayirma sagla degerlendirme bulun gecici hizmet mayis faaliyet goster
