haber_metni,gercek_etiket,sistem_karari,tahmin,dogru_mu
ramazan baslayali hafta olma dayak haber gelmeyen erzurum havadan erzak yardim yapil yiyen ramazan haftalik sure geri kalma oruc tutmayan dayak haber ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
yangin mahsur kalan aylik bebek komsu umraniye mahalle cadde nde katli bina ikinci bilinmeyen cikan yangin mahsur kalan iki aylik bebek komsu kurtaril,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
bursa bicakli kavga kamera bursa alacakverecek mesele yuzen cikan kavga bicak yaralanma guvenlik kamera yansi,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
buyuksehir belediye nin baskin karsi vatandas tedbirli olma talep degerlendiren baraj kanalizasyon yol verdi cuma aksam baslayan yogun saganak yagis s,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
show tvnin doktor pis ana haber bulten tekrar anlasil sure devamli pis doktor dizi tekrar ekran getiren show tvde ana haber bulten gecmis yil olduk or,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
bahcesehir kolej karsiyaka bos gonder tahincioglu basketbol super lig hafta bahcesehir kolej saha karsiyaka yen darussafaka ayhan sahenk zafer mehmet ,Gerçek,Kısmen Destekleniyor,Gerçek,True
mustafa hakan kus lig tff lig sezon playoff oyna basari gosteren karsiyaka sozlesme biten futbolcu transfer farkli kulup anil buyuk koz mustafa toto l,Gerçek,Kısmen Destekleniyor,Gerçek,True
survivorin yeni sunucu murat ceylan kimdir kac yas survivor yarisma yeni sunucu murat ceylan kimdir soru yanit izleyici sorgulan baslayan konu arasi y,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
uyar kek cikolata fetis obje hali gelme saglikli akil durum duzenlenen turk psikiyatri dernek olagan degerlendir kongre toplum cikolata kek dondur ben,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
farkli sehir yasayan genc cift yanlislik boyun dinleyen telekulak cete feshet karar yasadisi yontem adam devlet gorevli dinleyerek elde ettik bilgi sa,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
israr varlik fon yonet kurulu baskanlik gorev teklif ettik maas alma reddeden cumhurbaskani erdogan maas sekil halledil kafa tak surpriz sekil varlik ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
yilbasi gir milyon kritik aile gir hisset bas yeni yil kisa sure kal sene sekil kapat ihtimalî hayli yuksek milyonlarca yilbasi girmek aile girmek alt,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
aci haber gun gel nigde gun kayip aranan metin kocaoglu golet bulun kocaoglunun kuzen gozalti alindi gectik ndan alamadik gerekce kayip bulun cumhuriy,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
milyon ekran kilitleyen dizi ask memnu yaklasik yillik gecikmen art ekran veda milyon ekran kilitleyen unlu dizi ask memnu beklenen final bolum ekran ,Sahte,Yetersiz Kanıt,Sahte,True
basaksehir sivasspor hazirlik tamamla medipol basaksehir spor toto super lig hafta deplasman demir grup sivasspor hazirlik tamamla turunculacivertli k,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
arkadas kulak cek parti genel baskan meral aksener bilecik ziyaret aksener chp bilecik milletvekili yasar millet ittifak nin bilecik belediye baskan a,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
adrenalin yeni adres adliye gazete ucuncu sayfa sik sik kavga haber giren adliye ozellik sayesinde adrenalin yeni gozde onceki gun adliye saray cikan ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
doga rutkay salgin nasip grip fotograf instagram,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
davutoglu turizm eylem plan acikla bas gelmeden tatil bitir para iade edil artan teror olay rusya yasanan gerginlik kriz alarm vere turkiye turizm can,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
metallicanin turkiye getiren tir musul sevk edilme saskinlik yarat napicaz lan gitar temmuz duzenlen metallica konser grup malzeme tasiyan adet tir og,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
prestijli meslek doktorluk kadir has universite turkiye nin yedi bolge yaklasik duzenlendik anket sosyal siyasal egilim arastir anket katilan yuzde pr,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
emniyet yil baslatilan ulke genis capli sorustur sinda son donemec girildik asayis sube mudurluk basin sozcu erkut kertezli sabah basin toplanti meyda,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
disisleri bakanlik vize kaldirdik ulke git ayip turkiye karsi vize uygulama son vere suriye lubnan katar ulke aldik karar buyuk hayal kiriklik yasadik,Sahte,Kısmen Destekleniyor,Gerçek,False
suriye vatandas yaparak ulke multeci sayi sifir muthis proje ayrinti netles sayi milyon suriyeli multeci hareket gecen parti dâhiyane denebil fikir so,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
yiyecek temizlik buyuk hata yap sebze meyve temizlen yumurta tavuk balik pisirmeden yikamak mutfak sik karsilasilan hata,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
manevra yapan otomobil carptik arkadas yaralan rize pazar ilce manevra yapan otomobil carptik kaldirim iki cocuk comert yasam yitir metehan serdaroglu,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
cikma basaran universite ogrenci yillarca anlatabilecek komik hikâyeler hacettepe universite felsefe bolum sinif ogrenci sezgi tekeylem gectik cikma a,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
mustafa denizli fenerbahce dertli mustafa denizli stoper oyuncu sakatlik ceza durum sikinti yasadik ifade toto super lig hafta mayis cumartesi gunu sa,Gerçek,Kısmen Destekleniyor,Gerçek,True
turkiye endiseli buyuk medya grup tehdit gonulsuz yandaslik yapan holdingten gonullu yandaslik yapan holding transfer basin ozgurluk olumsuz etki turk,Sahte,Kısmen Destekleniyor,Gerçek,False
galatasaray besiktas bulent yildirim spor toto super lig hafta galatasaraybesiktas atanan hakem bulent yildirim iki sezon yenilgi yuz gor turkiye fede,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
gun taksim ciplak eylem yapan femen yogun gundem farkedilebil sure uzun gundem madde saat fazla surmeyen surekli yeni kriz olay karsilasilan turkiye f,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
kader yeni guvenlik yasa dug turkiye yasa boga facia art basbakan recep tayyip erdogan madenci kader seklî buyuk tartis yarat calis bakanlik guvenlik ,Sahte,Kısmen Destekleniyor,Gerçek,False
sakat general zor gun geciren tsk cerablus operasyon deneyimli oyuncu ara sakat general fazlalik kadro kurmak zorlanan turk silahli kuvvet cerablus ba,Sahte,Kısmen Destekleniyor,Gerçek,False
ortaokul yan gorusulmeyen arkadas yil sonraki bulusma sasirt abi bak sistem uzun yil gorusulmeyen arkadas dur yer gelen telefon baslayan surec son hus,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
akrep haftalik burc yorum astrolog aygul aydin hafta yorumlu,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
uzun ugras art kilo verme basaran ezgi uncu boy bog and yaklasik yillik diyet spor program kilo vererek standart gorunum kavusan ezgi uncu sosyal medy,Sahte,Kısmen Destekleniyor,Gerçek,False
ogrenci video paylasim rekor kiramayan sinif ogretmen meslek buruk veda den begenerek izledik komik ogretmenogrenci video avcilar drama yil basladik m,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
muebbet hapis ceza carptirilan kenan evren karar anlatil cile suru asker darbe yap ankara ceza mahkeme eylul dava sanik kenan evren donem hava kuvvet ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
parti kararli lira falan isci boz icki kumar git para hâlbuki secim asgari ucret lira cikarilacak parti gelen elestiri geri adim parti bugun falan lir,Sahte,Kısmen Destekleniyor,Gerçek,False
erdal gunduz yonet aldik karar super lig ekip evkur yeni malatyaspor basin sozcu erdal gunduz konus son durum kasimpasa galibiyet konusan malatyaspor ,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
cocuk film izle elestirmen senarist burak goral cocuk sinema isimli calisma ebeveyn dolu dolu rehber sun goral yas aralik cocuk secki cocuk bilissel g,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
turkiye ampute millî kaptan osman cakmak kimdir turkiye ampute millî kaptan osman cakmak kimdir soru merak edilen isim arasi yer basla avrupa sampiyon,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
turizm bakanlik avrupa vatandas cagri guvenli gel cennet koy saldiri ugra avrupa gun gectikce artan teror saldiri turizm bakanlik hareket gecir avrupa,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
ataturk aciklama buyuksehir belediye belediye bina ataturk turk bayrak kaldirilma iliskin mayis ataturk genclik spor bayram son hizmet bina ataturk tu,Gerçek,Kısmen Destekleniyor,Gerçek,True
mor ote sasirtan karar komun hali yasadik aciklayarak dikkat uzerine ceken mor ote aldik yeni karar bun cekecek klip sade gorunecek acikla grup vokali,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
bitcoin yil rekor gor kripto para birim piyasa yuksek hacimli birim bitcoin yan dolar duzey gorduk dolar don investmentin birim yonelik kurumsal yatir,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
yarali gozalti gecen mayis korkulan basbakan erdogan ego saglik durum gun hazirlik bin polis adet toma sayesinde halka kapatilan taksim meydan mayis g,Sahte,Kısmen Destekleniyor,Gerçek,False
temizlik isci ornek davranis kaza yaralanan antalya alanya ilce aytemiz alanyasporlu futbolcu kaza nokta temizlik yapan belediye gorevli sackey nin bu,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
londra banka bulunan sahipsiz ortadogulu funye patlatil paris saldiri art âdeta alarm durum gecen avrupa ulke supheli amansiz takip suru sevindirici h,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
milyoner soru elenen elâzig firat universiteli genc sikâyetci yillik elâzig firat universite bolum sinif ogrenci beyhan ala bugunlerde cifte utanc yas,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
sahur zaman iftar saat sultan huzur bereket ayi ramazan baslama kisa sure kal musluman buyuk onem sahip ramazan oruc pazar pazartesi baglayan gece sah,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
turk universite liste londra merkezli derecelendir kurulus times the asya nin universite siralama yayimla turkiye den yuksekogretim kurum yer aldik si,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
bas toplam etme gereken murat oncur kara haber hey aksam napiyosun disari son gelen aksam napiyosun disari mesaj ocak ates dusur kredi kart son limit ,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
ali palabiyik halil umut uefa seminer fifa hakem ali palabiyik halil umut uefa kategori hakem duzenlenen kurs katil turkiye federasyon acikla bugun ba,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
sakin gec yil vefat garanti vere ozel kapanak huzurevi gorduk yogun memnun acibadem yil hizmet giren ozel kapanak huzurevi sakin gec yil iceri ebediye,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
survivor yunanistan yarismaci dimitra vamvakousi kimdir survivor yunanistan yarismaci dimitra vamvakousi isim hayli iddiali dimitra vamvakousi tanitim,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
hafta akin ugrayan koy giris koy kahvalti sinirsiz cay tabela asa serefsiz catal ilce bagli koy sakin hafta art arka kesilmeyen yerli turist akin duru,Sahte,Kanıt Bulunamadı / Alakasız,Sahte,True
halat kop facia donul tane araci saplan kâgithane dogalgaz boru tasiyan tir halat kop yol sacilan boru arac saplan ortalik savas alan donduk guvenlik ,Gerçek,Kanıt Bulunamadı / Alakasız,Sahte,False
